educ,age,inc_q,emp_in,mobileowner,internetaccess,account,female
2,16,2,2,1,1,1,0
2,19,3,1,1,1,1,0
2,19,2,1,1,2,0,1
2,34,1,1,1,2,1,0
2,15,2,2,1,1,0,1
2,21,5,2,1,1,0,1
2,28,3,1,1,1,0,1
2,28,2,1,1,2,1,0
2,33,2,1,1,2,1,0
3,53,4,1,1,1,1,1
2,38,4,1,1,1,1,1
1,53,3,1,1,1,0,1
3,49,5,1,1,1,1,0
2,30,2,1,1,1,1,0
2,30,5,1,1,1,1,1
2,37,1,1,1,2,0,0
2,23,5,2,1,1,1,1
2,43,5,1,1,1,1,1
1,51,3,1,1,1,0,0
1,58,4,1,2,2,0,1
1,88,3,2,1,2,1,0
2,43,5,1,1,1,1,1
2,26,5,2,1,1,1,0
1,40,1,1,1,2,0,0
2,57,3,1,1,1,1,1
2,19,5,1,1,1,1,0
3,56,5,1,1,1,1,0
2,42,3,1,1,2,0,0
2,30,5,2,1,1,1,0
2,32,4,2,1,2,1,0
2,17,3,2,1,1,0,1
1,28,1,1,1,2,1,0
1,69,4,1,1,2,0,1
2,23,5,1,1,1,0,1
3,35,4,1,1,1,1,0
1,58,1,1,1,2,0,0
2,20,2,1,1,2,0,1
2,39,5,1,1,1,1,1
1,55,4,2,1,1,1,0
3,62,5,2,1,1,1,0
1,27,3,1,1,2,0,1
2,40,5,1,1,1,1,0
2,37,2,1,1,2,0,1
2,19,1,1,1,1,0,0
1,62,3,1,1,2,1,0
2,21,4,1,1,1,0,0
3,24,5,1,1,1,0,1
2,31,3,1,1,1,0,1
2,34,4,1,1,1,1,0
2,28,3,1,1,1,1,0
2,15,4,2,1,1,0,1
2,37,3,1,1,2,0,1
2,18,5,1,1,1,1,1
2,61,2,1,1,1,1,1
2,21,2,1,2,1,1,1
2,31,4,1,1,1,1,0
3,35,5,1,1,1,1,1
2,20,5,1,1,1,1,1
2,46,4,2,1,1,1,1
2,29,5,1,1,1,1,1
3,43,5,1,1,1,1,1
3,28,5,1,1,1,1,1
2,18,4,1,1,1,0,1
1,36,4,1,1,1,1,1
2,18,1,2,1,1,0,0
2,18,1,2,1,1,0,1
2,49,5,2,1,1,0,0
1,52,5,1,1,1,1,0
2,44,5,1,1,1,1,1
2,31,2,1,1,2,0,0
2,52,1,1,1,2,0,0
2,40,5,1,1,1,1,1
1,50,1,1,1,1,1,1
1,45,3,1,1,1,0,0
2,21,4,2,1,1,1,0
1,40,3,1,1,1,0,1
2,34,5,2,1,1,1,0
3,73,5,1,1,1,0,0
2,49,2,1,1,2,0,0
3,32,5,1,1,1,1,0
3,60,5,1,1,1,1,1
2,15,4,2,1,1,0,1
3,38,3,1,1,1,1,0
1,36,4,1,1,2,0,0
2,66,4,1,1,1,0,0
2,65,1,1,1,2,1,0
2,36,2,1,1,1,1,1
2,47,4,1,1,1,0,0
1,43,1,1,1,1,0,1
1,47,1,1,1,2,0,1
2,28,2,1,1,1,1,0
2,17,2,2,1,1,0,1
2,20,1,1,1,1,0,0
2,33,5,1,1,1,1,1
2,29,3,2,1,1,1,0
2,59,5,1,1,1,1,1
2,30,1,2,1,1,1,0
3,28,5,1,1,1,1,1
3,31,5,1,1,1,1,0
3,39,4,1,1,1,1,1
1,33,3,1,1,1,1,1
2,36,1,1,1,2,1,0
2,63,3,2,1,1,1,0
2,43,2,1,1,1,1,0
2,60,4,2,1,2,1,0
2,23,4,1,1,1,1,1
2,44,2,1,1,1,1,1
2,40,4,1,1,1,0,0
2,20,2,1,1,1,0,1
2,25,2,2,1,1,1,0
1,74,1,2,1,2,1,0
